	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
3038	13.5%	Wachau, Austria	750 ml	White	3/1/2018	Ried Liebenberg Smaragd	Weygandt-Metzler	$55,  Buy Now	Grüner Veltliner	F X Pichler	This wine's unlikely combination of passion fruit, wild thyme, lemon zest and fennel seed aromas is totally convincing. On the palate, that same richness is even more apparent. Savory herb and salt notes seem counter a richer, oilier citrus aspect, making for high drama and lots of flavor. Sip, sit back and savor the long, citrus-inflected finish.	94	3039	Anne Krebiehl MW	F X Pichler 2016 Ried Liebenberg Smaragd Grüner Veltliner (Wachau)	https://www.winemag.com/buying-guide/f-x-pichler-2016-ried-liebenberg-smaragd-gruner-veltliner-wachau/
3039	13%	Kremstal, Austria	750 ml	White	3/1/2018	Ried Kirchensteig	Blue Danube Wine Co	$41,  Buy Now	Riesling	Geyerhof	This wine's tender yellow apple notes have an edge of orange and grapefruit zest. Tingling green apple freshness pervades the palate, along with lemon zest notes and a flowing, generous juiciness that almost lets you forget how pithy the flavors actually are. Very streamlined, linear and dry, with a lip-smakcing finish and lots of future promise. Drink 2018–2030.	94	3040	Anne Krebiehl MW	Geyerhof 2016 Ried Kirchensteig Riesling (Kremstal)	https://www.winemag.com/buying-guide/geyerhof-2016-ried-kirchensteig-riesling-kremstal/
3040	13%	Wachau, Austria	750 ml	White	3/1/2018	Ried Steinriegl Smaragd	Grand Cru Selections	$50,  Buy Now	Riesling	Jäger	A hedonistic touch of juicy peach swings along with the lemon notes on the nose of this wine. That lovely creamy peachiness also makes for a happy flavor tandem with lemon on the taut, concentrated palate, adding texture and echo. The finish returns to pure, lasting lemon. What a joy. Drink 2018–2030.	94	3041	Anne Krebiehl MW	Jäger 2016 Ried Steinriegl Smaragd Riesling (Wachau)	https://www.winemag.com/buying-guide/jager-2016-ried-steinriegl-smaragd-riesling-wachau/
3041	13%	Morgon, Beaujolais, France	750 ml	Red	3/1/2018	Côte du Py	Ideal Wine and Spirits	$28,  Buy Now	Gamay	Jean-Marc Burgaud	Reveling in the tannins of a young Côte du Py, this wine is rich, structured and dense. The tannins give the dry edge this wine needs to age. Intense with ripe black fruits, this is a powerful wine. Drink from 2019.	94	3042	Roger Voss	Jean-Marc Burgaud 2016 Côte du Py  (Morgon)	https://www.winemag.com/buying-guide/jean-marc-burgaud-2016-cote-du-py-morgon/
3042	14%	Thermenregion, Austria	750 ml	White	3/1/2018	Satzing	Circo Vino	$40,  Buy Now	Rotgipfler, Other White	Johanneshof Reinisch	This wine's nutty, rounded richness and hint of woodsmoke glint in the glass. Its intense citrus freshness, which recalls lemon and orange oil, is tempered by a slight smoky edge. Rotgipfler is one of Austria's rarer indigenous grapes, and this one is particularly unusual, intense and concentrated. It's a party in a glass that's lovely now but will develop. Drink 2018–2028.	94	3043	Anne Krebiehl MW	Johanneshof Reinisch 2016 Satzing Rotgipfler (Thermenregion)	https://www.winemag.com/buying-guide/johanneshof-reinisch-2016-satzing-rotgipfler-thermenregion/
3043	13%	Kamptal, Austria	750 ml	White	3/1/2018	Ried Schenkenbichl	David Bowler Wine	$39,  Buy Now	Grüner Veltliner	Jurtschitsch	This wine's fresh green apple notes vie with green Conference pear scents while a flinty touch of reduction promises longevity. The palate shimmers with miso, sage and bright, pure lemon notes, which emphasize darker tones of savory yeast. The combination is totally moreish and effective.	94	3044	Anne Krebiehl MW	Jurtschitsch 2016 Ried Schenkenbichl Grüner Veltliner (Kamptal)	https://www.winemag.com/buying-guide/jurtschitsch-2016-ried-schenkenbichl-gruner-veltliner-kamptal/
3044	16%	Snipes Mountain, Columbia Valley, Washington, US	750 ml	Red	3/1/2018	Cattle King Upland Vineyard		$70,  Buy Now	Syrah	K Vintners	Consistently one of the winery's top bottlings, aromas of blackberry, black plum, dried herb, anise and spice are followed by supremely rich, tightly wound black fruit and crème de cassis flavors that show a firm grainy handshake of tannins and a warm crazy-long finish. It's all about intensity of expression but what intensity it brings.	94	3045	Sean P. Sullivan	K Vintners 2014 Cattle King Upland Vineyard Syrah (Snipes Mountain)	https://www.winemag.com/buying-guide/k-vintners-2014-cattle-king-upland-vineyard-syrah-snipes-mountain/
3045	14.5%	Walla Walla Valley (WA), Columbia Valley, Washington, US	750 ml	Red	3/1/2018	Ovide Jack's Vineyard		$55,  Buy Now	Red Blend	K Vintners	Coming from a vineyard in the Rocks District, aromas of kirsch, black currant, tobacco, spice and mineral are followed by saturated, rich black fruit and smoked meat flavors. It packs a powerful delicious punch.	94	3046	Sean P. Sullivan	K Vintners 2014 Ovide Jack's Vineyard Red (Walla Walla Valley (WA))	https://www.winemag.com/buying-guide/k-vintners-2014-ovide-jacks-vineyard-red-walla-walla-valley-wa/
3046	15%	Walla Walla Valley (WA), Columbia Valley, Washington, US	750 ml	Red	3/1/2018	Powerline Vineyard		$45,  Buy Now	Syrah	K Vintners	This new exciting vineyard is located in the foothills of the Blue Mountains and is filled with cobblestone soils. The aromas explode with notes of raspberry, green and black olive brine, green stem, smoked meat, mineral and earth. The palate is rich and focused, with intense earth, fruit and savory flavors that lead to an extended finish. Abundant floral notes are speckled throughout. It's a stunner.	94	3047	Sean P. Sullivan	K Vintners 2014 Powerline Vineyard Syrah (Walla Walla Valley (WA))	https://www.winemag.com/buying-guide/k-vintners-2014-powerline-vineyard-syrah-walla-walla-valley-wa/
3047	12.5%	Kremstal, Austria	750 ml	White	3/1/2018	Steiner Hund	Schatzi Wines	$44,  Buy Now	Riesling	Lesehof Stagård	The yeasty smell of lees is still present on the nose of this wine, and its lemony fruit struggles to come through. On the palate, however, bright, brisk and pure lemon is in full force. Fruitiness and bitter pith are interwoven, creating a textured mouthfeel of fresh and tart flavors. This still needs to knit together but promises to be a long-lived, concentrated Riesling. Drink now until 2030 or longer.	94	3048	Anne Krebiehl MW	Lesehof Stagård 2016 Steiner Hund Riesling (Kremstal)	https://www.winemag.com/buying-guide/lesehof-stagard-2016-steiner-hund-riesling-kremstal/
3048	13%	Kremstal, Austria	750 ml	White	3/1/2018	Steiner Schreck	Schatzi Wines	$44,  Buy Now	Riesling	Lesehof Stagård	The funkiness of lees and fermentation dominate this wine's aroma. On the palate, fresh green and red apple notes shine through, along with a vibrant, pure streak of lemon freshness. It's concentrated yet slender, needing time to show its lemony poise. Drink 2020–2030.	94	3049	Anne Krebiehl MW	Lesehof Stagård 2016 Steiner Schreck Riesling (Kremstal)	https://www.winemag.com/buying-guide/lesehof-stagard-2016-steiner-schreck-riesling-kremstal/
3049	14.8%	Napa Valley, Napa, California, US	750 ml	Red	3/1/2018	Final		$150,  Buy Now	Cabernet Sauvignon	Madrigal	This is a warm welcoming wine, resolved in tannin and well-integrated overall. Black licorice, tobacco and clove add to the savory depth of dark, brooding character as an unexpected waft of violet perfume lurks beneath the full-bodied ripeness and concentration.	94	3050	Virginie Boone	Madrigal 2013 Final Cabernet Sauvignon (Napa Valley)	https://www.winemag.com/buying-guide/madrigal-2013-final-cabernet-sauvignon-napa-valley/
3050	14.4%	Russian River Valley, Sonoma, California, US	750 ml	Red	3/1/2018			$48,  Buy Now	Pinot Noir	Merry Edwards	Made from grapes sourced from several sites across the appellation, this shows deft winemaking skill in its velvety, gritty texture and beautiful aromas and flavors of cured meat, rose petal and Asian five spice. Bright acidity lifts the tones of cranberry, rhubarb and mushroom earthiness, with a touch of crushed stone.	94	3051	Virginie Boone	Merry Edwards 2015 Pinot Noir (Russian River Valley)	https://www.winemag.com/buying-guide/merry-edwards-2015-pinot-noir-russian-river-valley/
3051	13.5%	Vulkanland Steiermark, Austria	750 ml	White	3/1/2018	Stradener Alte Reben	Frederick Wildman &amp; Sons, Ltd	$80,  Buy Now	Sauvignon Blanc	Neumeister	Soft vanilla tones overlay fresh, bright passion fruit and rich vanilla notes in this wine, but something more intense lies beneath. The palate reveals great concentration, freshness and intensity, with passion fruit, cream and lemon flavors. Despite the creamy descriptors this is resolutely svelte—a real marvel of what mature vines can do. The finish is dry, intense and very long. Drink 2018–2028.	94	3052	Anne Krebiehl MW	Neumeister 2013 Stradener Alte Reben Sauvignon Blanc (Vulkanland Steiermark)	https://www.winemag.com/buying-guide/neumeister-2013-stradener-alte-reben-sauvignon-blanc/
3052	13%	Leithaberg, Austria	750 ml	Red	3/1/2018	Altenberg	Frederick Wildman &amp; Sons, Ltd	$45,  Buy Now	Blaufränkisch, Other Red	Nittnaus Anita und Hans	The nose is shy but with air it gives way to ripe but tart plum and cherry fruit. On the palate this broadens out into the aromatic hit of Morello and Amarena, kept in tight check by a fine web of gossamer tannins and fresh, bright acidity. This is dense but not extracted, toned but not bulky. This very honestly presented red comes across as totally elegant and wonderfully understated. Impressive but certainly not showy. Drink 2020–2030.	94	3053	Anne Krebiehl MW	Nittnaus Anita und Hans 2015 Altenberg Blaufränkisch (Leithaberg)	https://www.winemag.com/buying-guide/nittnaus-anita-und-hans-2015-altenberg-blaufrankisch-leithaberg/
3053	14.5%	Barbaresco, Piedmont, Italy	750 ml	Red	3/1/2018	Ovello Riserva	Vias Imports	$68,  Buy Now	Nebbiolo	Produttori del Barbaresco	Wild berry, camphor, moist earth and violet aromas unfold in the glass. The structured, refined palate delivers juicy Marasca cherry, crushed raspberry, orange slice and white pepper alongside polished tannins and bright acidity. A soothing licorice note lingers on the finish. Drink through 2028.	94	3054	Kerin O’Keefe	Produttori del Barbaresco 2013 Ovello Riserva  (Barbaresco)	https://www.winemag.com/buying-guide/produttori-del-barbaresco-2013-ovello-riserva-barbaresco/
3054	13%	Kamptal, Austria	750 ml	White	3/1/2018	Ried Heiligenstein	Skurnik Wines, Inc	$43,  Buy Now	Riesling	Schloss Gobelsburg	An aromatic cloud of orange and lemon zest rises from the glass. With air, the citrus notions become more heady and intense. They perform the same trick on the palate, shimmering in an aromatic array of bergamot, lemon, tangerine and orange. There's a vein of freshness, unforced concentration and the promise of a long future ahead. Drink 2020–2030.	94	3055	Anne Krebiehl MW	Schloss Gobelsburg 2016 Ried Heiligenstein Riesling (Kamptal)	https://www.winemag.com/buying-guide/schloss-gobelsburg-2016-ried-heiligenstein-riesling-kamptal/
3055	13.5%	Wachau, Austria	750 ml	White	3/1/2018	Ried Höhereck Smaragd	KWSelection.com	$52,  Buy Now	Grüner Veltliner	Tegernseerhof	This wine's ripe, yellow pear aromas have a savory touch of miso. On the palate, a pleasantly bitter note of citrus pith takes over, adding freshness and texture to complement the savory flavors that give it so much intrigue. It would be simply impossible to not take another sip. The finish is clean, taut and moreish.	94	3056	Anne Krebiehl MW	Tegernseerhof 2016 Ried Höhereck Smaragd Grüner Veltliner (Wachau)	https://www.winemag.com/buying-guide/tegernseerhof-2016-ried-hohereck-smaragd-gruner-veltliner-wachau/
3056	13.5%	Wachau, Austria	750 ml	White	3/1/2018	Ried Loibenberg Smaragd	Skurnik Wines, Inc	$55,  Buy Now	Grüner Veltliner	Alzinger	This wine's pure notes of ripe green pear send enticing signals. The palate adds zesty lemon and floral woodruff touches, creating a green cloud of aroma that fills nose and palate. It's slender and taut in body, its salty midpalate texture beautifully pervaded by citrus brightness. The finish is moreish and totally lip-smacking.	94	3057	Anne Krebiehl MW	Alzinger 2016 Ried Loibenberg Smaragd Grüner Veltliner (Wachau)	https://www.winemag.com/buying-guide/alzinger-2016-ried-loibenberg-smaragd-gruner-veltliner-wachau/
3057	13.5%	Wachau, Austria	750 ml	White	3/1/2018	Ried Loibenberg Smaragd	Skurnik Wines, Inc	$55,  Buy Now	Riesling	Alzinger	A heady, tropical touch of passion fruit clings to the more forward citrus notes on the nose of this wine. Lemon and tangerine notes play on the svelte, linear palate. This is totally refreshing and enlivening, with an almost electric lemon verve. Lovely now; sure to evolve. Drink 2018–2030.	94	3058	Anne Krebiehl MW	Alzinger 2016 Ried Loibenberg Smaragd Riesling (Wachau)	https://www.winemag.com/buying-guide/alzinger-2016-ried-loibenberg-smaragd-riesling-wachau/
3058	14%	Carnuntum, Austria	750 ml	Red	3/1/2018	Kirchweingarten	Vintners Alliance	$45,  Buy Now	Blaufränkisch, Other Red	Artner	That salty-sweet aspect of maple syrup makes a brief appearance on the nose before plum, nutmeg and vanilla take over. The body is smooth with elastic but present tannins, the fruit is dense and plush while ample freshness gives both harmony and crunch. It is just on the finish that some alcoholic heat becomes apparent in this very approachable but sophisticated, international style. This is big and bold but brimming with fine fruit. Drink 2020–2030.	94	3059	Anne Krebiehl MW	Artner 2015 Kirchweingarten Blaufränkisch (Carnuntum)	https://www.winemag.com/buying-guide/artner-2015-kirchweingarten-blaufrankisch-carnuntum/
3059	14.5%	Gigondas, Rhône Valley, France	750 ml	Red	3/1/2018	Hominis Fides	Craft + Estate–The Winebow Group	$109,  Buy Now	Grenache	Château de Saint-Cosme	The Hominis Fides represents some of the estate's oldest Grenache vines, with an average age of 90 years. Irresistibly ripe, rich and mouthfilling, this is a powerhouse of black-plum and cherry flavors refined by layers of pencil shavings, cedar and spice. It's bold and lavishly textured yet has freshness and a fine, filigreed tannin structure. Drink now through 2030.	94	3060	Anna Lee C. Iijima	Château de Saint-Cosme 2014 Hominis Fides  (Gigondas)	https://www.winemag.com/buying-guide/chateau-de-saint-cosme-2014-hominis-fides-gigondas/
3060	12%	Valencia, Levante, Spain	750 ml	White	4/1/2018	Tibó	International Cellars	$13,  Buy Now	Meseguera, Spanish White	De Moya	Tropical fruit and sucking-candy aromas are inoffensive and lively. This varietal Merseguera is texturally pulpy but also zippy due to high acidity and only 12% abv. Lime and lychee flavors finish quickly.	84	3061	Michael Schachner	De Moya 2016 Tibó Meseguera (Valencia)	https://www.winemag.com/buying-guide/de-moya-2016-tibo-meseguera-valencia/
3061	15%	Toro, Northern Spain, Spain	750 ml	Red	4/1/2018	Triton Old Vines	Fine Estates From Spain	$20,  Buy Now	Tinta de Toro, Tempranillo	Jorge Ordóñez &amp; Co.	Heavily charred aromas suggest a steak or hamburger left on the grill for too long. In the mouth, this is compact and boxed in by rock-hard tannins. Like the nose, this young Toro tastes burnt and grilled. Flavors of black coffee and clove dominate an oak-driven finish.	84	3062	Michael Schachner	Jorge Ordóñez & Co. 2016 Triton Old Vines  (Toro)	https://www.winemag.com/buying-guide/jorge-ordonez-co-2016-triton-old-vines-toro/
3062	15.4%	Southern Oregon, Southern Oregon, Oregon, US	750 ml	White	4/1/2018			$24,  Buy Now	Pinot Gris	Schmidt	A light straw color, with a hint of tawny skin, this is a blocky, simple and fruity style, high in alcohol with flavors of peaches. There isn't much to it beyond that one-dimensional fruit, and it finishes short and quick.	84	3063	Paul Gregutt	Schmidt 2016 Pinot Gris (Southern Oregon)	https://www.winemag.com/buying-guide/schmidt-2016-pinot-gris-southern-oregon/
3063	14.5%	Calatayud, Northern Spain, Spain	750 ml	Red	4/1/2018	Viñas Viejas	Kysela Père et Fils	$14,  Buy Now	Garnacha, Grenache	Albada	Raisiny, saucy aromas are slightly volatile. A wide, saturated palate comes up short on focus and acidity, while a mix of raisin and green-herb flavors lands on a heavy finish.	84	3064	Michael Schachner	Albada 2014 Viñas Viejas Garnacha (Calatayud)	https://www.winemag.com/buying-guide/albada-2014-vinas-viejas-garnacha-calatayud/
3064	15.9%	California, California Other, California, US	750 ml	Red	4/1/2018	Inferno		$17,  Buy Now	Bordeaux-style Red Blend	Apothic	A strong, smoky aroma and equally obvious oak flavors dominate this very full-bodied and fairly smooth-textured wine that was aged in whiskey barrels. It's a one-note song, recommended for people who really like that note.	84	3065	Jim Gordon	Apothic 2015 Inferno Red (California)	https://www.winemag.com/buying-guide/apothic-2015-inferno-red-california/
3065	13.5%	Rioja, Northern Spain, Spain	750 ml	Red	4/1/2018	Crianza	Askari O.H	$14,  Buy Now	Tempranillo	Bodega Classica	Stalky cherry and berry aromas announce a lean, tart palate with a texture influenced by grape skins. Plum and currant flavors are thin, and this is earthy, tangy and low on ripeness on the finish.	84	3066	Michael Schachner	Bodega Classica 2013 Crianza  (Rioja)	https://www.winemag.com/buying-guide/bodega-classica-2013-crianza-rioja/
3066	13%	Rueda, Northern Spain, Spain	750 ml	White	4/1/2018	Cuarenta Vendimias	Vinamericas Selections	$15,  Buy Now	Verdejo, Spanish White	Cuatro Rayas	A nose with mild citrus and banana aromas is indicative of the fleshy but basic wine that follows. Dry flavors of peach pit are slightly bitter, and it's dull on the finish. This wine marks Cuatro Rayas's 40th year.	84	3067	Michael Schachner	Cuatro Rayas 2016 Cuarenta Vendimias Verdejo (Rueda)	https://www.winemag.com/buying-guide/cuatro-rayas-2016-cuarenta-vendimias-verdejo-rueda/
3067	13%	Rueda, Northern Spain, Spain	750 ml	White	4/1/2018		Grapes of Spain	$14,  Buy Now	Verdejo, Spanish White	Egeo	Nectarine and orange aromas are basic and yeasty. A peachy, pulpy palate with flavors of orange and bitter grape skins loses fruit rapidly on the finish.	84	3068	Michael Schachner	Egeo 2016 Verdejo (Rueda)	https://www.winemag.com/buying-guide/egeo-2016-verdejo-rueda/
3068	13.8%	Russian River Valley, Sonoma, California, US	750 ml	White	4/1/2018	Bacigalupi Vineyard		$50,  Buy Now	Chardonnay	Merriam	This wine is somewhat dull in texture and elusive in fruit, offering a strong sense of oak and sulfur.	84	3069	Virginie Boone	Merriam 2014 Bacigalupi Vineyard Chardonnay (Russian River Valley)	https://www.winemag.com/buying-guide/merriam-2014-bacigalupi-vineyard-chardonnay-russian-river-valley/
3069	14%	Conca de Barberà, Catalonia, Spain	750 ml	White	4/1/2018	Milmanda	Ste. Michelle Wine Estates	$65,  Buy Now	Chardonnay	Torres	The nose of this wine is melony and chunky, with a touch of oak. The palate feels solid enough but still a bit mushy, while dry, creamy flavors of tropical fruits are diffuse in front of a finish that's low in verve.	84	3070	Michael Schachner	Torres 2014 Milmanda Chardonnay (Conca de Barberà)	https://www.winemag.com/buying-guide/torres-2014-milmanda-chardonnay-conca-de-barbera/
3070	10%	Umpqua Valley, Southern Oregon, Oregon, US	750 ml	White	4/1/2018	Valo		$17,  Buy Now	White Blend	Whitetail Ridge	This wine is already past its prime. The blend of Müller-Thurgau, Viognier and Moscato is interesting, but the fruit is fading into a simple, lightly peachy syrup, with a hint of plastic. Drink now.	84	3071	Paul Gregutt	Whitetail Ridge 2014 Valo White (Umpqua Valley)	https://www.winemag.com/buying-guide/whitetail-ridge-2014-valo-white-umpqua-valley/
3071	13.5%	Vino de la Tierra de Castilla y León, Northern Spain, Spain	750 ml	White	4/1/2018	Quinta Apolonia	Elite Wines Import	$25,  Buy Now	Verdejo, Spanish White	Belondrade	Briny, wayward aromas of grape skins and yeast are funky and unfocused. This Verdejo has a pulpy, soft mouthfeel and flat white-fruit flavors that turn bitter on the finish.	84	3072	Michael Schachner	Belondrade 2016 Quinta Apolonia Verdejo (Vino de la Tierra de Castilla y León)	https://www.winemag.com/buying-guide/belondrade-2016-quinta-apolonia-verdejo-vino-de-la-tierra-de-castilla-y-leon/
3072	14%	Haut-Médoc, Bordeaux, France	750 ml	Red	4/1/2018		Misa Imports	$35,  Buy Now	Bordeaux-style Red Blend	Château Doyac	This dense and rich wine is dominated by dark-chocolate flavors of excessive extraction and bitterness. The fruit is hard to find in this wine that will probably remain tough.	84	3073	Roger Voss	Château Doyac 2015  Haut-Médoc	https://www.winemag.com/buying-guide/chateau-doyac-2015-haut-medoc/
3073	13.5%	Galilee, Israel	750 ml	White	4/1/2018	Reserve	Allied Importers, USA, Ltd	$18,  Buy Now	Sauvignon Blanc	Dalton	With aromas of petrol and spearmint, this wine has flavors of lemon-lime and eucalyptus that do not feel completely integrated. Citrus and minty flavors fight for dominance on the palate, with cooling herb flavors overpowering the finish.	84	3074	Mike DeSimone	Dalton 2016 Reserve Sauvignon Blanc (Galilee)	https://www.winemag.com/buying-guide/dalton-2016-reserve-sauvignon-blanc-galilee/
3074	13%	Rueda, Northern Spain, Spain	750 ml	White	4/1/2018		USA Wine West	$22,  Buy Now	Verdejo, Spanish White	Dominio de la Abadesa	A dull gold tint and steamrolling barrel aromas announce an oak-heavy wine that's tight, resiny and high in acid. Woody flavors of salted apricot echo on the finish.	84	3075	Michael Schachner	Dominio de la Abadesa 2016 Verdejo (Rueda)	https://www.winemag.com/buying-guide/dominio-de-la-abadesa-2016-verdejo-rueda/
3075	14.6%	California, California Other, California, US	750 ml	Red	4/1/2018	Barrel Select		$13,  Buy Now	Red Blend	Eden Ridge	This medium-bodied straightforward wine has good fruit flavors and a few hints of black pepper and tobacco to keep it interesting. The texture is smooth and only a light touch of tannin shows through.	84	3076	Jim Gordon	Eden Ridge 2013 Barrel Select Red (California)	https://www.winemag.com/buying-guide/eden-ridge-2013-barrel-select-red-california/
3076	13%	Eola-Amity Hills, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Estate Cuvée		$45,  Buy Now	Pinot Noir	Methven Family Vineyards	As most Methven Pinots are estate grown, it's not entirely clear what distinguishes this from the others. What it does show, rather agressively, are aromas of leather. Those same flavors render the wine thin, astringent and bitter, amplifying the drying tannins.	84	3077	Paul Gregutt	Methven Family Vineyards 2014 Estate Cuvée Pinot Noir (Eola-Amity Hills)	https://www.winemag.com/buying-guide/methven-family-vineyards-2014-estate-cuvee-pinot-noir-eola-amity-hills/
3077	14%	Jumilla, Levante, Spain	750 ml	Red	4/1/2018	Porta Regia Colección Privada Old Vines	Grapes of Spain	$13,  Buy Now	Monastrell, Mourvèdre	Sierra Norte	Rough, rubbery aromas suggest road tar. This Monastrell feels clumsy and hollow. Raw, slightly weedy berry flavors are green and minty on a chewy finish.	84	3078	Michael Schachner	Sierra Norte 2016 Porta Regia Colección Privada Old Vines Monastrell (Jumilla)	https://www.winemag.com/buying-guide/sierra-norte-2016-porta-regia-coleccion-privada-old-vines-monastrell-jumilla/
3078	13.5%	Médoc, Bordeaux, France	750 ml	Red	4/1/2018		Golden State Wine Co	$23,  Buy Now	Bordeaux-style Red Blend	Château Tour Castillon	A serious commitment to wood aging has given this wine a dark-chocolate and extracted set of flavors. This masks the wine, which seems almost austere. It will likely remain tough.	84	3079	Roger Voss	Château Tour Castillon 2015  Médoc	https://www.winemag.com/buying-guide/chateau-tour-castillon-2015-medoc/
3079	12.5%	Vino de la Tierra de Castilla, Central Spain, Spain	750 ml	White	4/1/2018	Flirty Bird	Prestige Beverage Group	$4,  Buy Now	Sauvignon Blanc	Felix Solis	This Sauvignon Blanc has little to no varietal character. The nose is quiet, with just a hint of peach. A round palate shows almost no acidity, while this tastes peachy and yeasty prior to a pulpy finish.	84	3080	Michael Schachner	Felix Solis 2016 Flirty Bird Sauvignon Blanc (Vino de la Tierra de Castilla)	https://www.winemag.com/buying-guide/felix-solis-2016-flirty-bird-sauvignon-blanc-vino-de-la-tierra-de-castilla/
3080	13.5%	California, California Other, California, US	750 ml	Red	4/1/2018	The Red Flash		$10,  Buy Now	Red Blend	Firefly Ridge	This wine has respectable but generic fruit flavors, a soft texture and a touch of sugar to round off its edges. It is light to medium bodied and tastes low in acidity.	84	3081	Jim Gordon	Firefly Ridge 2015 The Red Flash Red (California)	https://www.winemag.com/buying-guide/firefly-ridge-2015-the-red-flash-red-california/
3081	14.5%	Sonoma Valley, Sonoma, California, US	750 ml	White	4/1/2018	Small Lot		$27,  Buy Now	Chardonnay	Iron Hub	This wine is severe in acidity, with a somewhat jarring lack of fruit. Butterscotch and melted butter develop in the glass for a lingering richness.	84	3082	Virginie Boone	Iron Hub 2015 Small Lot Chardonnay (Sonoma Valley)	https://www.winemag.com/buying-guide/iron-hub-2015-small-lot-chardonnay-sonoma-valley/
3082	14.5%	Calatayud, Northern Spain, Spain	750 ml	Red	4/1/2018	Selección Especial	Axial VinosUSA	$12,  Buy Now	Garnacha, Grenache	Marqués de Montañana	Pushy oak and heavy clove aromas seem excessive for this level of Garnacha. A rough, grating palate leads to oak-heavy flavors of clove and blackberry, while a persistent flavor of oak-driven clove controls the finish.	84	3083	Michael Schachner	Marqués de Montañana 2016 Selección Especial Garnacha (Calatayud)	https://www.winemag.com/buying-guide/marques-de-montanana-2016-seleccion-especial-garnacha-calatayud/
3083	13%	Vino de la Tierra de Castilla, Central Spain, Spain	750 ml	White	4/1/2018		Fine Estates From Spain	$11,  Buy Now	Verdejo, Spanish White	Paso a Paso	Prickly citrus aromas include notes of white flowers. Yeasty grapefruit and lime flavors are bland and short, while this ends flat, yeasty and lightly oxidized.	84	3084	Michael Schachner	Paso a Paso 2016 Verdejo (Vino de la Tierra de Castilla)	https://www.winemag.com/buying-guide/paso-a-paso-2016-verdejo-vino-de-la-tierra-de-castilla/
3084	13.5%	Toro, Northern Spain, Spain	750 ml	Red	4/1/2018	Dama de Toro	Quintessential Wines	$15,  Buy Now	Tinta de Toro, Tempranillo	Bodegas Fariña	This Tinta de Toro smells like a cherry Lifesaver. In the mouth, there's not much body or substance. Candied blackberry and cassis flavors are medicinal and jammy on the finish.	84	3085	Michael Schachner	Bodegas Fariña 2016 Dama de Toro  (Toro)	https://www.winemag.com/buying-guide/bodegas-farina-2016-dama-de-toro-toro/
3085	13.5%	Jumilla, Levante, Spain	750 ml	Red	4/1/2018	Joven	Pacific Estates	$12,  Buy Now	Red Blend	Monterebro	Jammy, baked aromas are raisiny and slightly volatile. This blend of 85% Monastrell and Syrah is heavy and soupy, with dull edges. Herbal prune and raisin flavors are raw and green on the finish.	84	3086	Michael Schachner	Monterebro 2016 Joven Red (Jumilla)	https://www.winemag.com/buying-guide/monterebro-2016-joven-red-jumilla/
3086	13.5%	Douro, Portugal	750 ml	Rose	4/1/2018		Maritime Wine Trading Collective	$45,  Buy Now	Rosé	Quinta Nova de Nossa Senhora do Carmo	This pale-colored wine, a blend of Tinta Francisca and Tinta Roriz, was aged in wood for eight months. That was probably too long, for the fruit has been sucked into the wood, leaving a trail of acidity behind.	84	3087	Roger Voss	Quinta Nova de Nossa Senhora do Carmo 2016 Rosé (Douro)	https://www.winemag.com/buying-guide/quinta-nova-de-nossa-senhora-do-carmo-2016-rose-douro-284078/
3087	12.8%	Applegate Valley, Southern Oregon, Oregon, US	750 ml	Rose	4/1/2018	Pink		$22,  Buy Now	Rosé	Schmidt	Made entirely from Merlot, this sweet pink wine might pass for a simple white Zinfandel. The sugary sweetness comes with light flavors of cherry Kool-Aid.	84	3088	Paul Gregutt	Schmidt NV Pink Rosé (Applegate Valley)	https://www.winemag.com/buying-guide/schmidt-nv-pink-rose-applegate-valley/
3088	13.5%	Valdeorras, Northern Spain, Spain	750 ml	White	4/1/2018		Grapes of Spain	$47,  Buy Now	Godello, Spanish White	Astrales	Stalky aromas of citrus peel are stale and mostly fruitless. A full, flat palate indicates a wine that has lost its youthful freshness, offering bitter apricot flavors and a finish that's low on acidity.	83	3089	Michael Schachner	Astrales 2011 Godello (Valdeorras)	https://www.winemag.com/buying-guide/astrales-2011-godello-valdeorras/
3089	14.1%	Minnesota, Minnesota, US	750 ml	Red	4/1/2018	Estate		$40,  Buy Now	Marquette, Other Red	Chankaska	The nose of this Marquette is all spice and jammy dark berries, with whiffs of Luxardo cherries. The rounded palate shows warm, baked cranberry, blackberry, blueberry sauce and cedar. Soft tannins lend structure and quiet acidity teeters on the edge of flabby, finishing on cassis and a woody tang.	83	3090	Fiona Adams	Chankaska 2015 Estate Marquette (Minnesota)	https://www.winemag.com/buying-guide/chankaska-2015-estate-marquette-minnesota/
3090	13%	Fleurie, Beaujolais, France	750 ml	Red	3/1/2018		Louis/Dressner Selections	$25,  Buy Now	Gamay	Domaine des Terres Dorées	Made in a rich style, this wine is fully structured and full of black fruit flavors. Grapes from a densely planted old-vine vineyard have added concentration. Drink from late 2018.	93	3091	Roger Voss	Domaine des Terres Dorées 2016  Fleurie	https://www.winemag.com/buying-guide/domaine-des-terres-dorees-2016-fleurie/
